x y cosx_x cosy_x
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.000 1.000 0.000
1.410 0.031 1.000 0.022
1.377 0.301 0.977 0.214
1.376 0.308 0.976 0.218
1.330 0.469 0.943 0.333
1.327 0.476 0.941 0.337
1.327 0.476 0.941 0.337
1.188 0.759 0.843 0.538
1.183 0.768 0.839 0.545
0.991 1.003 0.703 0.711
0.906 1.080 0.642 0.766
0.717 1.214 0.509 0.861
0.498 1.319 0.353 0.936
0.498 1.319 0.353 0.936
0.279 1.382 0.198 0.980
0.252 1.387 0.179 0.984
0.096 1.407 0.068 0.998
-0.021 1.410 -0.015 1.000
-0.021 1.410 -0.015 1.000
-0.277 1.383 -0.196 0.981
-0.373 1.360 -0.264 0.964
-0.487 1.323 -0.346 0.938
-0.697 1.226 -0.494 0.869
-0.779 1.175 -0.552 0.834
-0.875 1.105 -0.621 0.784
-1.037 0.956 -0.735 0.678
-1.087 0.898 -0.771 0.637
-1.164 0.795 -0.826 0.564
-1.207 0.729 -0.856 0.517
-1.233 0.684 -0.875 0.485
-1.304 0.536 -0.925 0.380
-1.318 0.501 -0.935 0.355
-1.362 0.365 -0.966 0.259
-1.375 0.311 -0.975 0.221
-1.408 0.073 -0.999 0.052
-1.410 0.017 -1.000 0.012
