id scene subject timestamp duration date
1 test test 0.100 5.000 1426182154.1652489
2 test test 0.100 5.000 1426182210.8505704
3 test test 0.100 5.000 1426182220.8306496
4 test test 0.100 5.000 1426182233.8185635
5 test test 0.100 5.000 1426182303.6008072
6 test test 0.100 5.000 1426182660.0228117
7 test test 0.100 10.000 1426183582.633739
8 test test 0.100 10.000 1426183640.6948705
9 test test 0.100 10.000 1426183727.4469738
10 test test 0.100 100.000 1426225360.072755
11 test test 0.100 10.000 1426226072.4707232
12 test test 0.100 10.000 1426226143.9055223
13 test test 0.100 10.000 1426230796.071779
14 circle_maze subject 0.100 5.000 1426231948.2142332
15 test test 0.100 10.000 1426256277.3818927
16 test test 0.100 10.000 1426256361.23595
17 test test 0.200 10.000 1426257020.0161586
18 test test 0.200 10.000 1426257433.9141428
19 circle_maze subject 0.500 200.000 1426265947.9853692
20 circle_maze subject 0.500 200.000 1426474980.6151803
